"","mean detection","sd detection","q025","q5","q975","diff"
"Abia americana",0.30806865096121,0.292983382026085,0.0111825699131382,0.18767307340826,0.953728378540667,0.942545808627528
"Ablabesmyia monilis",0.236271993217131,0.267448137777754,0.00212525556856723,0.114875561391187,0.911614391308666,0.909489135740098
"Ablabesmyia sp. BOLD:ACG3931",0.233851996728995,0.265487870366692,0.00192914728017954,0.114931619605215,0.913064300068002,0.911135152787822
"Ablabesmyia sp. BOLD:ACT7851",0.198458643782577,0.206199164004896,0.0091927239765861,0.118875425988044,0.765194434147119,0.756001710170533
"Acartophthalmus nigrinus",0.235197396128088,0.277960966957098,0.00217705093823289,0.102248179745368,0.935675806087113,0.933498755148881
"Achorotile sp. BOLD:ACU1499",0.232041736429538,0.137112683503059,0.0643604029682344,0.193978944008173,0.590588372659841,0.526227969691607
"Aclastus sp. BOLD:AAA9140",0.231737519290121,0.268214999231853,0.00181158875583002,0.105540449136489,0.924194903637121,0.922383314881291
"Acleris schalleriana",0.232633584197382,0.26634146731468,0.00184050689504219,0.107896399761817,0.901965782500795,0.900125275605753
"Aclista sp. SlikokOtu1060",0.230364777554127,0.262785027697696,0.00205569039934011,0.113499611148825,0.907223853207189,0.905168162807849
"Acrididae sp. SlikokOtu1901",0.337593928627928,0.293631386585879,0.0159971130576965,0.23862207877735,0.948301363094081,0.932304250036385
"Adelius sp. BOLD:AAG0698",0.24467870016568,0.271586665564354,0.00204678580098033,0.124249729920669,0.936663509867743,0.934616724066763
"Aedes abserratus",0.25250726152897,0.140197163501915,0.0795399514285637,0.214256871908383,0.626668785936893,0.54712883450833
"Aedes sp. BOLD:AAB1098",0.315595802991873,0.28955774867603,0.0117111628709924,0.209398319908235,0.949023310522239,0.937312147651247
"Aedes sp. SlikokOtu1256",0.321949927907806,0.288180236648832,0.0132640320434909,0.224143876974096,0.945631309571869,0.932367277528378
"Aedes sp. SlikokOtu1817",0.337272244808138,0.289525317283735,0.0126517525133898,0.251895754196475,0.954326529125679,0.941674776612289
"Agromyzidae sp. BOLD:AAV4890",0.24376359974525,0.271839567302269,0.0026244637482649,0.12129060260348,0.931808898319907,0.929184434571642
"Agromyzidae sp. SlikokOtu742",0.301763627327506,0.287580210478535,0.0139869640563244,0.1818381577932,0.946578257994788,0.932591293938464
"Agromyzidae sp. SlikokOtu764",0.324193131297397,0.289183917646608,0.013692884870659,0.223019686787837,0.945798407839692,0.932105522969033
"Allantus albolabris",0.207695245487443,0.208196287488501,0.0114345888133669,0.127966824516202,0.7683822968141,0.756947708000733
"Alliopsis silvestris",0.235155484620566,0.271944740603764,0.00235568659960596,0.108680033186881,0.918238573987106,0.9158828873875
"Allodia czernyi",0.23957436214479,0.270769946146148,0.00278859400134714,0.120978212736535,0.910807634336327,0.90801904033498
"Allodia sp. BOLD:AAG4945",0.311620582241762,0.289760899117233,0.0105327599663286,0.198916883983326,0.943402808250272,0.932870048283943
"Allodia sp. BOLD:ACC5209",0.251809961718953,0.274450609352299,0.00295478517307369,0.130588702073746,0.913732276384023,0.91077749121095
"Allodia sp. BOLD:ACI6426",0.241972833171976,0.273525120156447,0.00173694917191978,0.118728588932067,0.92606461630603,0.92432766713411
"Allodia sp. BOLD:ACJ1830",0.231986704352656,0.268256815157638,0.00171348813028554,0.103513692330936,0.924335916897678,0.922622428767392
"Allodia sp. BOLD:ADN8722",0.31369556163419,0.292716956874461,0.00992747445318578,0.197592199949653,0.942556953060696,0.93262947860751
"Allodia sp. SlikokOtu1175",0.325996231548758,0.293428724663171,0.0128658063027328,0.214521304589306,0.946681856480543,0.933816050177811
"Alopecosa aculeata",0.198468690498672,0.201115146039911,0.00927779151418277,0.117910791577087,0.739291707708847,0.730013916194664
"Altica tombacina",0.184509092536571,0.164524258185498,0.0210310578936669,0.125081265986849,0.633744693421979,0.612713635528312
"Amauronematus fallax",0.35461533167784,0.292482584870848,0.0170208713388669,0.274467766137814,0.948649706884351,0.931628835545484
"Anacharis eucharoides",0.238956167058695,0.27439710790554,0.00195194694165833,0.110071943101765,0.919138523800142,0.917186576858483
"Ancylis sp. BOLD:ACE7743",0.198786928332601,0.202102845514612,0.0109591330290788,0.118290229865356,0.739966984107831,0.729007851078753
"Anthomyza pengellyi",0.593719357091706,0.2705110662072,0.0782179859408126,0.62868478608751,0.98348770080149,0.905269714860678
"Anticlea vasiliata",0.177761096038808,0.183819476174397,0.00882180882297526,0.101046275159053,0.677793621532075,0.6689718127091
"Aperileptus infuscatus",0.195316354796731,0.203989920169906,0.00896212247189291,0.112922919778201,0.763425581780245,0.754463459308352
"Aperileptus sp. jft05",0.198855165752025,0.203135440553265,0.00981245043475779,0.120826898828486,0.758517602554852,0.748705152120095
"Aphididae sp. SlikokOtu2151",0.1819034871605,0.185406653992497,0.0100811106630234,0.110896319354147,0.69335374962482,0.683272638961797
"Aphidius ervi",0.236621060636429,0.270631758299572,0.00183996297335581,0.109959206772654,0.91399887742876,0.912158914455404
"Aphidius salicis",0.230049959801348,0.266438421707017,0.00207601309796625,0.106969483731381,0.9248280203538,0.922752007255834
"Aphidius sp. BOLD:ABX6188",0.202350893086537,0.203765391443394,0.0115068001047962,0.120406996515721,0.760010325890459,0.748503525785663
"Aphidius sp. cf. schimitscheki",0.230635512226279,0.267221347581379,0.0015459136250797,0.109716603025627,0.908792901691571,0.907246988066492
"Araneus marmoreus",0.250678715795106,0.280935035222505,0.00290116043498426,0.119116174654027,0.941066417345349,0.938165256910365
"Araneus trifolium",0.334064283402053,0.290046194291457,0.0140675963863491,0.240592523189416,0.941441218776275,0.927373622389925
"Araneus yukon",0.226258962655674,0.269667798479655,0.00172273304703563,0.0964137020898124,0.921977383280258,0.920254650233223
"Araniella displicata",0.207935625348126,0.203836965001836,0.0104414848792005,0.13250445223626,0.742866483339018,0.732424998459817
"Araniella proxima",0.201209745290488,0.1996276896917,0.0100655848557522,0.122105018399147,0.727053998435396,0.716988413579644
"Arganthomyza duplex",0.184643838691733,0.161340740240678,0.0192326674301184,0.131040385361365,0.614562845164765,0.595330177734647
"Argyresthia sp. ABKWR035-07",0.180440879610619,0.159574342439714,0.0205881953414073,0.127043056119146,0.607692867419185,0.587104672077778
"Atractodes alpestris",0.327915018959196,0.291019393374405,0.0137215623958242,0.218281469694075,0.93924591310789,0.925524350712066
"Atractodes sp. jft03",0.245953848362908,0.275721629601591,0.002122103633865,0.120307791008876,0.928327789479043,0.926205685845178
"Atrichopogon sp. BOLD:AAG6519",0.228881435246613,0.269001626220987,0.00154744299113425,0.107376229645758,0.911302461018933,0.909755018027799
"Atrichopogon sp. BOLD:AAG6543",0.23617913685859,0.268179979738483,0.0019022121503607,0.115979203594333,0.913511931818343,0.911609719667983
"Attulus striatus",0.233974721105329,0.270259148037918,0.00167620360657319,0.107935787631313,0.924139236051022,0.922463032444449
"Baccha elongata",0.211255582938153,0.215318365155076,0.00930366117721042,0.122611789929987,0.791100535460839,0.781796874283629
"Baeosciara scotica",0.234071492478538,0.270635497312811,0.00261153684488552,0.109127646784889,0.925157775949797,0.922546239104912
"Baeosciara sp. SlikokOtu1554",0.230103340195245,0.266588953350733,0.00182841045916007,0.109385334617949,0.925626136385683,0.923797725926523
"Baeosciara sp. SlikokOtu1805",0.229610485054021,0.265724619393907,0.00150110098496031,0.104707762008206,0.904532282498809,0.903031181513849
"Balclutha rhenana",0.253834459721279,0.278250333157241,0.00243384401497724,0.130612704952453,0.93299482740288,0.930560983387902
"Balclutha sp. BOLD:AAG8963",0.533506497584443,0.132335031694202,0.286784319778374,0.535703040478656,0.780162063072046,0.493377743293672
"Balclutha sp. SlikokOtu1082",0.437994058306708,0.23990982590232,0.0604540718746481,0.423421173691394,0.888167986407058,0.82771391453241
"Balclutha sp. SlikokOtu1195",0.571346137048801,0.27506630316716,0.0741483732510151,0.60203636679384,0.979816790340936,0.905668417089921
"Balclutha sp. SlikokOtu1671",0.202553186043439,0.200766837385646,0.0109819901452419,0.126280957711052,0.744498233280783,0.733516243135542
"Balclutha sp. SlikokOtu2029",0.21314365284503,0.212294577392262,0.00972645013767539,0.129573499717708,0.780010213398297,0.770283763260622
"Balclutha sp. SlikokOtu2183",0.195100773927013,0.195634392094622,0.0103773622710916,0.120916102316381,0.720867868898214,0.710490506627122
"Balclutha sp. SlikokOtu603",0.508020454584728,0.184309827615468,0.173574354664003,0.511366238016506,0.848755952446726,0.675181597782723
"Batrachedra praeangusta",0.244330001899608,0.273263952546859,0.00259166286457036,0.119403559848155,0.925293916610065,0.922702253745495
"Bdellidae sp. SlikokOtu1455",0.25069071956377,0.278872323869924,0.00232494137225855,0.129218404802942,0.929445621107885,0.927120679735626
"Bdelloidea sp. SlikokOtu1837",0.342698242145963,0.297606745375397,0.0137190028903694,0.244166058327373,0.957175242933731,0.943456240043362
"Bdelloidea sp. SlikokOtu2063",0.314188665788692,0.290050355144466,0.0142049437626245,0.204021517429969,0.94897992767947,0.934774983916846
"Belytinae sp. BOLD:AAJ8196",0.233066618834146,0.263280820292469,0.0020805513803537,0.114726742016494,0.907787339466405,0.905706788086051
"Beris fuscipes",0.202220430105255,0.205827125955276,0.00890506075686736,0.125054026076579,0.765199399301822,0.756294338544954
"Betulaphis quadrituberculata",0.191950321127367,0.167570489073188,0.0206565662135278,0.135125180736097,0.639690467763001,0.619033901549473
"Bibionidae sp. SlikokOtu1348",0.196135849553133,0.174878313482364,0.0200069529078115,0.133112562343114,0.682980760495455,0.662973807587643
"Boernerina occidentalis",0.247698723886666,0.18114520055615,0.0475460079955128,0.193403146796925,0.721863375477607,0.674317367482094
"Boletina arctica",0.196021746662678,0.194246029356749,0.010294309721749,0.121470731711881,0.71787850311522,0.707584193393471
"Boletina dissipata",0.325602445581746,0.292247956723168,0.0144232344793201,0.211146676378474,0.958923907078135,0.944500672598815
"Boletina nitiduloides",0.200038794196668,0.204197746053231,0.00992983572438801,0.118775760739028,0.751296095089071,0.741366259364683
"Boletina onegensis",0.205134966640662,0.203718266925898,0.0102320847323448,0.128276178574621,0.749974287897444,0.739742203165099
"Boletina sp. BOLD:AAM8972",0.223031333056109,0.264821407960794,0.00187146902621495,0.098521947038603,0.90080432400451,0.898932854978295
